codigo_inmueble,sector,barrio,estrato,valor_arriendo,valor_administracion,area_construida,area_privada,antiguedad,habitaciones,banos,parqueadero,url
MC4095807,Santa Bárbara,Santa Barbara Central,6,2500000,,87,80,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-central-2-habitaciones-2-banos-1-garajes/MC4095807
MC4454281,Santa Bárbara,Molinos Norte Santa Bárbara,6,2000000,,64.03,64.03,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-molinos-norte-2-habitaciones-2-banos-1-garajes/MC4454281
10366-M4361947,Cedritos,Cedro Golf,4,1810000,390000,70,70,Entre 10 y 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cedro-salazar-2-habitaciones-2-banos-1-garajes/10366-M4361947
MC4430352,Centro Internacional,Museo Parque Central Bavaria,4,2400000,,48,45,Entre 0 y 5 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-samper-1-habitaciones-2-banos-1-garajes/MC4430352
MC4433742,Colina y Alrededores,Gratamira Suba Colina Y Alrededores,4,1200000,,31,26.5,Entre 5 y 10 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ciudad-jardin-norte-1-habitaciones-1-banos/MC4433742
MC4451703,Santa Bárbara,Chico/Navarra,6,1600000,,32,32,Remodelado,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-patricio-1-habitaciones-1-banos-1-garajes/MC4451703
MC4450694,Chicó,El Chico,6,2600000,350000,40,40,Más de 20 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-1-habitaciones-1-banos-1-garajes/MC4450694
MC4374664,Chicó,El Nogal Chicó,5,2700000,500000,60,60,Más de 20 años,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-porciuncula-2-habitaciones-1-banos-1-garajes/MC4374664
MC4369852,Chicó,Rosales,6,7500000,,125,0,Entre 5 y 10 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-rosales-2-habitaciones-3-banos-2-garajes/MC4369852
MC4429993,Salitre Modelia,Ciudad Salitre Nor Oriental Teusaquillo Fontibón Tintal,5,4500000,,57.62,61.89,Entre 0 y 5 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ciudad-salitre-occidental-1-habitaciones-2-banos-1-garajes/MC4429993
MC4422454,Chapinero Alto,Las Rosales Chicó,6,2300000,,40,40,Más de 20 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-las-acacias-1-habitaciones-1-banos-1-garajes/MC4422454
MC4417035,La Soledad,Armenia Centro Internacional,4,1500000,,29,25,Entre 0 y 5 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-armenia-1-habitaciones-1-banos/MC4417035
MC4441777,Puente Aranda,Veraguas,4,1250000,,46,46,Entre 5 y 10 años,2,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-veraguas-2-habitaciones-1-banos/MC4441777
MC4482290,Santa Bárbara,Santa Bibiana Santa Bárbara,6,1700000,600000,40,43,Entre 5 y 10 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-bibiana-1-habitaciones-1-banos-1-garajes/MC4482290
MC4298905,Santa Bárbara,Santa Barbara Occidental Chicó,5,2800000,,70,70,Entre 5 y 10 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-1-habitaciones-2-banos-1-garajes/MC4298905
MC3487420,Chicó,Nogal,5,4100000,,94,88,Remodelado,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-espartillal-2-habitaciones-3-banos-1-garajes/MC3487420
MC3570488,La Soledad,Armenia Teusaquillo La Soledad,4,1800000,,64.7,62,Entre 10 y 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-armenia-2-habitaciones-2-banos-1-garajes/MC3570488
MC4438544,Country,Lisboa Norte Country,5,2356000,544000,55,55,Entre 0 y 5 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-lisboa-1-habitaciones-2-banos-1-garajes/MC4438544
15080-M3887181,Santa Bárbara,Santa Barbara,6,2500000,,60,60,Entre 5 y 10 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-central-2-habitaciones-2-banos-1-garajes/15080-M3887181
MC4412704,La Soledad,Teusaquillo La Soledad,4,1950000,150000,40,40,Entre 0 y 5 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-las-americas-1-habitaciones-1-banos-1-garajes/MC4412704
MC4479316,Chicó,Chico Oriental Chicó,6,2500000,,75,75,Más de 20 años,2,2,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-refugio-2-habitaciones-2-banos/MC4479316
10858-M4432304,Chicó,Chico Norte,6,3225000,225000,19.58,19.58,Entre 0 y 5 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-et.-iii-1-habitaciones-1-banos/10858-M4432304
MC4416897,Niza Alhambra,La Floresta,4,1450000,,46,46,Entre 5 y 10 años,1,2,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-julio-florez-1-habitaciones-2-banos/MC4416897
MC4489339,Santa Bárbara,San Patricio Chicó,6,1640000,460000,49,49,Más de 20 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-patricio-1-habitaciones-1-banos-1-garajes/MC4489339
3220-3889049,Santa Bárbara,Santa Barbara Alta,6,9120000,1525000,152,152,Entre 0 y 5 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-alta-2-habitaciones-3-banos-2-garajes/3220-3889049
175-M4458850,Chicó,Chapinero,6,4100000,824000,82,82,Entre 5 y 10 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-antiguo-country-1-habitaciones-1-banos/175-M4458850
MC4472291,Santa Bárbara,Chico San Patricio Chicó,6,2200000,,41,39.77,Entre 10 y 20 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-patricio-1-habitaciones-2-banos-1-garajes/MC4472291
175-M4458871,Chicó,Rosales,6,7500000,1264000,160,160,Entre 5 y 10 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-rosales-2-habitaciones-3-banos-2-garajes/175-M4458871
175-M4452533,Santa Bárbara,Rincon Del Chico,6,2976000,524000,82,82,Más de 20 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-rincon-del-chico-2-habitaciones-3-banos-2-garajes/175-M4452533
175-M4449835,Chicó,Antiguo Country,5,4300000,1000000,79,79,Entre 5 y 10 años,1,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-antiguo-country-1-habitaciones-2-banos-2-garajes/175-M4449835
175-M4458844,Country,La Carolina,6,4665000,835000,173,173,Más de 20 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-carolina-2-habitaciones-2-banos-2-garajes/175-M4458844
175-M4458847,Santa Bárbara,Chico Navarra,6,3485000,515000,130,130,Más de 20 años,2,2,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-patricio-2-habitaciones-2-banos/175-M4458847
175-M4422442,Santa Bárbara,La Alhambra,5,7000000,1561000,150,150,Más de 20 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-bibiana-2-habitaciones-2-banos-2-garajes/175-M4422442
175-M4452534,Santa Bárbara,Santa Ana,6,7900000,1483000,181,181,Más de 20 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-ana-oriental-2-habitaciones-2-banos-2-garajes/175-M4452534
175-M4443702,Chicó,El Chico,6,3200000,751000,81,81,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-2-habitaciones-2-banos-1-garajes/175-M4443702
MC2636709,Chapinero Alto,Chapinero Alto Chicó,4,820000,,16,16,Entre 10 y 20 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-pardo-rubio-1-habitaciones-1-banos/MC2636709
MC4491243,Chicó,Chico Norte Iii Chicó,6,4600000,,100,100,Entre 5 y 10 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-et.-iii-2-habitaciones-3-banos-2-garajes/MC4491243
MC4027571,Chicó,Chico Chicó,6,5700000,,61,61,Entre 5 y 10 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-et.-ii-1-habitaciones-2-banos-1-garajes/MC4027571
MC3992831,Chapinero Alto,Pardo Rubio,4,2500000,350000,75,70,Remodelado,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-pardo-rubio-2-habitaciones-2-banos-1-garajes/MC3992831
MC3121988,Santa Bárbara,Santa Barbara,5,2800000,,64,64,Entre 5 y 10 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-oriental-2-habitaciones-2-banos-1-garajes/MC3121988
MC2651017,Santa Bárbara,San Patricio Chicó,6,2200000,,42,42,Entre 5 y 10 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-patricio-1-habitaciones-1-banos-1-garajes/MC2651017
MC2669753,Chicó,Chico Reservado Chicó,6,4300000,700000,90,90,Entre 0 y 5 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-ii-2-habitaciones-3-banos-2-garajes/MC2669753
